id,camera_number,original_id,latitude,longitude,utm_x,utm_y,street,intersection,neighborhood,camera_type,status,status_id,organizational_unit,installation_date,is_active,is_public,is_santos_aovivo,created_at,updated_at
1,CAM0044,537,-23.96481442,-46.34887450,362758.70,7349012.73,Praça Washington,,José Menino,Fixa Digital,Em Funcionamento,1,COORDENADORIA DO ORQUIDÁRIO MUNICIPAL,,true,true,true,2025-11-18 18:18:21.777016+00,2025-11-18 18:25:25.98603+00
2,CAM0045,529,-23.96613839,-46.34886099,362761.47,7348866.14,Praça Washington,Rua Cyra,José Menino,Fixa Digital,Em Funcionamento,1,,,true,true,true,2025-11-18 18:18:21.777016+00,2025-11-18 18:25:25.98603+00
3,CAM0376,901,-23.96828834,-46.35406397,362234.32,7348622.99,Avenida Presidente Wilson,Rua Monteiro Lobato,José Menino,OCR Auxiliar,Em Funcionamento,1,,,true,true,true,2025-11-18 18:18:21.777016+00,2025-11-18 18:25:25.98603+00
4,CAM0377,903,-23.96823186,-46.35441626,362198.41,7348628.90,Avenida Presidente Wilson,Rua Monteiro Lobato,José Menino,OCR Auxiliar,Em Funcionamento,1,,,true,true,true,2025-11-18 18:18:21.777016+00,2025-11-18 18:25:25.98603+00
5,CAM0378,2530,-23.96812387,-46.35427178,362213.00,7348641.00,Avenida Presidente Wilson,Rua Monteiro Lobato,José Menino,OCR Auxiliar,Em Funcionamento,1,,,true,true,true,2025-11-18 18:18:21.777016+00,2025-11-18 18:25:25.98603+00
6,CAM0379,907,-23.98792261,-46.29630893,368131.14,7346504.06,Avenida Rei Pelé,,Ponta Da Praia,OCR Auxiliar,Em Funcionamento,1,,2020-06-27,true,true,true,2025-11-18 18:18:21.777016+00,2025-11-18 18:25:25.98603+00
7,CAM0380,909,-23.98809537,-46.29628874,368133.37,7346484.95,Avenida Rei Pelé,,Ponta Da Praia,OCR Auxiliar,Em Funcionamento,1,,,true,true,true,2025-11-18 18:18:21.777016+00,2025-11-18 18:25:25.98603+00
8,CAM0381,911,-23.98467328,-46.29445765,368316.18,7346865.60,Avenida Governador Mário Covas Júnior,Praça Almirante Gago Coutinho,Ponta Da Praia,OCR Auxiliar,Em Funcionamento,1,,,true,true,true,2025-11-18 18:18:21.777016+00,2025-11-18 18:25:25.98603+00
9,CAM0382,915,-23.98469657,-46.29447932,368314.00,7346863.00,Rua Vereador Henrique Soler,Praça Almirante Gago Coutinho,Ponta Da Praia,OCR Auxiliar,Em Funcionamento,1,,,true,true,true,2025-11-18 18:18:21.777016+00,2025-11-18 18:25:25.98603+00
10,CAM0383,917,-23.98373153,-46.29433207,368328.00,7346970.00,Rua Vereador Henrique Soler,Praça Almirante Gago Coutinho,Ponta Da Praia,OCR Auxiliar,Em Funcionamento,1,,,true,true,true,2025-11-18 18:18:21.777016+00,2025-11-18 18:25:25.98603+00
11,CAM0391,945,-23.94387276,-46.36795125,360795.00,7351313.00,Avenida Jovino de Mello,Rua Maestro Antônio Garófalo,Bom Retiro,OCR Auxiliar,Em Funcionamento,1,,,true,true,true,2025-11-18 18:18:21.777016+00,2025-11-18 18:25:25.98603+00
12,CAM0393,953,-23.94466849,-46.36800755,360790.13,7351224.83,Avenida Nossa Senhora de Fátima,Avenida Jovino de Mello,Chico De Paula,OCR Auxiliar,Em Funcionamento,1,,,true,true,true,2025-11-18 18:18:21.777016+00,2025-11-18 18:25:25.98603+00
13,CAM0394,955,-23.94423868,-46.36742453,360849.00,7351273.00,Avenida Nossa Senhora de Fátima,Avenida Francisco Ferreira Canto,São Jorge,OCR Auxiliar,Em Funcionamento,1,,,true,true,true,2025-11-18 18:18:21.777016+00,2025-11-18 18:25:25.98603+00
14,CAM0395,935,-23.95073661,-46.37294562,360294.09,7350548.00,Avenida Nossa Senhora de Fátima,Avenida Doutor Haroldo de Camargo,Areia Branca,OCR Auxiliar,Em Funcionamento,1,,,true,true,true,2025-11-18 18:18:21.777016+00,2025-11-18 18:25:25.98603+00
15,CAM0396,937,-23.95067968,-46.37274788,360314.16,7350554.50,Avenida Nossa Senhora de Fátima,Avenida Francisco da Costa Pires,Areia Branca,OCR Auxiliar,Em Funcionamento,1,,,true,true,true,2025-11-18 18:18:21.777016+00,2025-11-18 18:25:25.98603+00
16,CAM0397,939,-23.95145757,-46.36703973,360895.91,7350474.00,Avenida Eleonor Roosevelt,Avenida Francisco da Costa Pires,São Jorge,OCR Auxiliar,Em Funcionamento,1,,,true,true,true,2025-11-18 18:18:21.777016+00,2025-11-18 18:25:25.98603+00
17,CAM0398,943,-23.95197830,-46.36687418,360913.31,7350416.50,Avenida Eleonor Roosevelt,Avenida Francisco da Costa Pires,São Jorge,OCR Auxiliar,Em Funcionamento,1,,,true,true,true,2025-11-18 18:18:21.777016+00,2025-11-18 18:25:25.98603+00
18,CAM0399,923,-23.95634257,-46.35023241,362611.54,7349949.53,Avenida Doutor Moura Ribeiro,Avenida Doutor Carvalho de Mendonça,Marapé,OCR Auxiliar,Em Funcionamento,1,,,true,true,true,2025-11-18 18:18:21.777016+00,2025-11-18 18:25:25.98603+00
19,CAM0400,921,-23.95589199,-46.35095157,362537.88,7349998.73,Avenida Doutor Nilo Peçanha,Avenida Prefeito Doutor Antônio Manoel de Carvalho,Marapé,OCR Auxiliar,Em Funcionamento,1,,,true,true,true,2025-11-18 18:18:21.777016+00,2025-11-18 18:25:25.98603+00
20,CAM0401,919,-23.95628329,-46.35107061,362526.18,7349955.28,Avenida Doutor Moura Ribeiro,Avenida Prefeito Doutor Antônio Manoel de Carvalho,Marapé,OCR Auxiliar,Em Funcionamento,1,,,true,true,true,2025-11-18 18:18:21.777016+00,2025-11-18 18:25:25.98603+00
21,CAM0402,925,-23.94159268,-46.34183072,363451.00,7351591.00,Avenida Rangel Pestana,,Jabaquara,OCR Auxiliar,Em Funcionamento,1,,,true,true,true,2025-11-18 18:18:21.777016+00,2025-11-18 18:25:25.98603+00
22,CAM0416,1293,-23.96925862,-46.33296754,364382.00,7348536.00,Faixa de Areia Divisa até Emissário,,José Menino,Fixa Digital HD,Em Funcionamento,1,,,true,true,true,2025-11-18 18:18:21.777016+00,2025-11-18 18:25:25.98603+00
23,CAM0417,1285,-23.96852758,-46.35075041,362571.75,7348599.73,Faixa de Areia Divisa até Emissário,,José Menino,Fixa Digital HD,Em Funcionamento,1,,,true,true,true,2025-11-18 18:18:21.777016+00,2025-11-18 18:25:25.98603+00
24,CAM0419,1299,-23.96803926,-46.34463093,363193.92,7348659.76,Avenida Senador Pinheiro Machado,Avenida Presidente Wilson,José Menino,Fixa Digital HD,Em Funcionamento,1,,2015-11-03,true,true,true,2025-11-18 18:18:21.777016+00,2025-11-18 18:25:25.98603+00
25,CAM0420,1311,-23.96863919,-46.33955652,363710.89,7348598.24,Avenida Presidente Wilson,Avenida Bernardino de Campos,José Menino,Fixa Digital HD,Em Funcionamento,1,,2015-10-26,true,true,true,2025-11-18 18:18:21.777016+00,2025-11-18 18:25:25.98603+00
